ID,Average of retweet_count,Average of favorite_count,bot_type,#of_friends,#of_followers,status_num,default_profile,geo_enabled,default_profile_image
67004702,0,0.004016064,spam bot,208,269,610,0,1,0
67242405,0.013824885,0.00921659,spam bot,216,230,222,0,1,0
67404263,0,0.004739336,spam bot,212,229,216,0,1,0
67537846,0,0.037383178,spam bot,432,573,214,0,0,0
67595009,167.1111111,0,spam bot,92,215,76,1,0,0
67604511,0,0,spam bot,456,112,1,1,0,0
67604772,0.009708738,0.004854369,spam bot,432,483,209,0,0,0
67946273,0,0.166666667,fake_follower,529,12,6,1,0,0
68203632,1,0,spam bot,203,51,1,1,0,0
68246597,0,0.008695652,spam bot,604,46,230,0,0,0
68332605,0,1,spam bot,623,106,1,1,0,0
68918886,0,1,spam bot,508,165,1,1,0,0
69201180,0.956,1.272,spam bot,52415,51859,2409,0,0,0
69202294,0,1,spam bot,560,182,1,1,0,0
69218933,0,0,spam bot,479,151,1,1,0,1
69280475,0,0,spam bot,383,47,7,1,0,0
69412978,34.46586345,0.156626506,fake_follower,747,286,363,0,1,0
69492703,1,0,spam bot,464,104,1,1,0,0
69502707,0,0,spam bot,517,130,1,1,0,0
69509049,1,1,spam bot,516,128,1,1,0,1
70038696,0,0,spam bot,241,251,241,0,1,0
71467598,0.222222222,0.055555556,spam bot,432,448,18,0,1,0
71564424,0,0,spam bot,0,69,15,0,0,0
71635706,0,0.020080321,spam bot,0,235,782,0,1,0
71722242,0,0,spam bot,0,203,716,0,1,0
71776798,0,0,spam bot,566,138,2,1,0,0
71793700,0.004,0.008,spam bot,245,216,332,0,1,0
71826144,0,0.039215686,spam bot,249,200,51,0,1,0
71940079,0,0,spam bot,251,268,741,0,1,0
71943510,0,0.004,spam bot,0,311,709,0,1,0
71966331,0,0.004,spam bot,251,338,825,0,1,0
72033272,0,0.032,spam bot,0,235,644,0,1,0
72041194,0,0.008,spam bot,247,272,722,0,1,0
72042541,0.004016064,0,spam bot,0,223,595,0,1,0
72059138,0.004016064,0,spam bot,244,200,599,0,1,0
72068550,0,0.016,spam bot,0,233,785,0,1,0
72076822,0,0,spam bot,252,217,692,0,1,0
72186699,11.58,0.704,fake_follower,1801,538,4131,0,1,0
72207735,0,0.016,spam bot,233,189,401,0,1,0
72208069,0,0.008,spam bot,233,212,682,0,1,0
72209365,0,0.012,spam bot,0,198,647,0,1,0
72211081,0,0.012,spam bot,0,219,598,0,1,0
72373568,0,0.004255319,spam bot,232,188,236,0,1,0
72432504,0,0.008,spam bot,0,214,626,0,1,0
72852291,0,0.2,fake_follower,0,10,20,1,0,0
72979450,155.284,0,spam bot,0,560,330,0,1,0
73049791,0,3,spam bot,504,62,1,1,0,0
73246645,0.142857143,0,spam bot,512,135,7,0,0,0
73851157,0,0,spam bot,387,60,1,1,0,0
73851368,0,0,spam bot,326,45,1,1,0,0
74120658,0.012,0.088,spam bot,854,161,269,0,0,0
74389659,0,1,spam bot,551,99,1,1,0,0
74630038,23.90361446,0.084337349,spam bot,1673,8515,22651,0,1,0
74637832,0,0,spam bot,435,396,200,0,1,0
74638959,0.014492754,0.004830918,spam bot,432,396,207,0,1,0
74995296,0.111111111,0,spam bot,492,58,9,0,0,0
75710563,0,0,spam bot,432,490,22,0,1,0
75727230,0,1,spam bot,401,117,1,1,0,0
75863742,6.688,7.048,spam bot,88453,106295,9435,1,0,0
75999733,0.005376344,0.010752688,spam bot,432,426,186,0,1,0
76000096,0.009756098,0.034146341,spam bot,432,429,205,0,1,0
76361849,1.325396825,0.03968254,fake_follower,0,47,126,0,0,0
76530984,2,1,spam bot,439,72,1,1,0,0
77161645,0,0,spam bot,518,72,1,1,0,0
77243796,66.42105263,0.105263158,fake_follower,1088,14,19,0,0,0
77413855,224.9016393,0.020491803,fake_follower,0,14,943,1,0,0
77727490,0.009090909,0.009090909,spam bot,432,448,220,0,1,0
78423507,0.059782609,0.005434783,spam bot,432,746,184,0,1,0
78466461,0.007462687,0,spam bot,437,381,135,0,1,0
79361616,0,0,spam bot,576,154,1,1,0,0
79362510,0,0,spam bot,492,111,4,1,1,0
79443295,0,2,spam bot,595,124,1,1,0,0
79860976,0,0.5,fake_follower,0,4,8,1,0,0
79966861,0,0,spam bot,493,74,1,1,0,0
80194139,0,0.035714286,fake_follower,0,8,29,1,0,0
80345479,0,0,spam bot,158,142,9,0,0,0
80479674,0.607142857,0.178571429,fake_follower,1443,34,28,0,1,0
82100136,5.697674419,0.023255814,fake_follower,57,18,43,1,1,0
82122078,0.5,2.5,fake_follower,0,17,4,0,0,0
83210368,133.2101911,0,spam bot,1659,296,157,0,0,0
84114859,10456.5641,0.025641026,scam bot,0,8,43,1,0,0
84325988,0,0.014925373,spam bot,1457,460,134,1,0,0
84602929,0.225806452,0.006451613,spam bot,986,256,155,0,0,0
85126240,0,0.008,spam bot,602,275,482,0,0,0
85254758,26.57692308,0.019230769,scam bot,0,9,57,1,0,0
86517226,0,0.00729927,spam bot,350,66,137,0,0,0
87752806,0,2.333333333,fake_follower,0,10,3,1,0,0
88004842,1,0,spam bot,19,695,1,0,0,0
88563527,0.00952381,0.047619048,fake_follower,615,13,105,0,1,0
91162581,0.020408163,0,spam bot,1171,1252,98,0,0,0
91350980,55.09236948,0.21686747,fake_follower,22,258,390,0,1,0
91781300,14.6199095,0.045248869,fake_follower,0,360,4585,0,1,0
92041890,61.62585034,0,spam bot,29,267,149,1,1,0
93083959,7.471615721,0.004366812,spam bot,1660,809,232,0,0,0
94528740,0,1.636363636,fake_follower,0,23,11,0,0,0
95690748,0,0,spam bot,554,164,41,0,0,0
96668347,23.81781377,0.008097166,spam bot,1752,682,525,0,0,0
96917059,8.408163265,0.036734694,fake_follower,0,139,1197,0,1,0
97275343,0,0,fake_follower,0,17,3522,0,0,0
98888058,0,0.25,spam bot,1661,657,8,1,0,0
99323986,0.5,0.5,spam bot,1620,500,6,1,0,0
99545852,0.004016064,0.020080321,spam bot,0,221,359,0,1,0
101330311,0.012,0.044,spam bot,2673,1700,684,0,0,0
101330413,68.02834008,0.012145749,fake_follower,1267,58,1178,0,0,0
101615403,0,0.08,spam bot,944,170,25,0,0,0
101647448,0.016,0.008,spam bot,27,111,3261,1,0,0
102508730,9513.931452,0.096774194,spam bot,433,897,58623,0,1,0
102514432,0,0,spam bot,681,75,1,1,0,1
103020806,0.044,0.028,spam bot,8805,7533,395,1,0,0
103614496,0,0.052631579,spam bot,686,107,19,1,0,1
103688844,5.052631579,0,spam bot,1536,430,57,0,0,0
103919687,0,0,spam bot,653,44,4,0,0,0
104256888,0,0,spam bot,441,67,6,1,0,1
104394959,0,0.05,spam bot,724,133,20,1,0,0
104520384,0.037735849,0,spam bot,764,140,53,0,0,0
104896954,0,0.004,spam bot,0,1543,2757,0,0,0
104897023,0.029411765,0,spam bot,1665,807,36,0,0,0
104991578,0.058823529,0,spam bot,708,106,17,0,0,0
105748476,0,0.5,fake_follower,0,15,2,1,1,0
105790281,0.016949153,0.050847458,fake_follower,1054,52,59,1,1,0
106301592,0,0,spam bot,169,25,2,0,0,0
106378113,0.555555556,0,spam bot,970,418,22,0,0,0
106394146,20.5,0.055555556,spam bot,431,234,19,1,0,0
106522802,0,1,spam bot,561,73,1,1,0,1
107436496,6.794871795,0,spam bot,1622,594,40,0,0,0
107549781,0,0,spam bot,486,51,13,1,0,1
107727712,1,0,spam bot,521,84,17,1,0,1
107914508,0.164,0.24,fake_follower,919,3498,94137,0,1,0
109066883,1.733333333,3.366666667,fake_follower,71,246,122,0,0,0
109075883,0,0.041666667,fake_follower,0,17,48,1,1,0
109633855,0,2,spam bot,255,168,2,1,0,1
112131340,0,0.036,fake_follower,0,7,394,1,0,0
112429918,0,0,spam bot,1064,1062,6599,1,0,0
112540516,0,0.02962963,fake_follower,0,26,135,1,0,0
112544426,0,0,spam bot,75,21,11,0,0,0
114079307,0,0.142857143,spam bot,667,230,14,0,0,0
114488344,0.026315789,0.013157895,fake_follower,124,33,76,1,0,0
116016837,0,0,spam bot,623,171,75,0,0,0
119227710,0,0.384615385,fake_follower,0,12,13,1,0,0
121309790,0.005494505,0.010989011,fake_follower,0,31,182,1,0,0
122511648,99.57692308,0,fake_follower,73,11,27,0,1,0
123599990,196.9666667,0,fake_follower,347,19,31,0,0,0
124419079,0,1,fake_follower,0,9,2,0,1,0
125514462,0.083333333,0.333333333,fake_follower,0,8,12,1,0,1
128620164,0,1,fake_follower,0,9,2,1,0,0
129549447,0.028,0.06,spam bot,547,488,8499,0,1,0
130061775,0.004,0.012,spam bot,249,268,549,0,1,0
132278621,0,0,fake_follower,7,10,9,0,0,0
134332869,0.041666667,0.291666667,fake_follower,0,20,24,1,1,0
134678238,0.4,2,fake_follower,0,24,5,0,1,0
137515361,0,5,fake_follower,0,6,1,1,0,0
137959629,0.666666667,0,fake_follower,0,9,3,1,1,0
138667565,2.308,57.684,spam bot,538,34640,36843,1,0,0
140176665,559.324,0.004,fake_follower,227,118,333,0,0,0
147852405,0,4,fake_follower,1137,38,1,1,0,0
147954455,0.666666667,1,fake_follower,0,21,3,1,0,0
148896431,0,0.184210526,fake_follower,0,7,38,0,0,0
150861478,113.0806452,0.044354839,fake_follower,644,33,500,0,1,0
152259498,16720.25,0.625,fake_follower,0,5,33,1,0,0
152846674,0,0.5,fake_follower,0,12,2,0,0,0
154237500,0,0.2,fake_follower,1105,8,20,1,1,0
154856763,20.96078431,0.039215686,fake_follower,0,5,52,1,0,0
156922624,0.016,0.016,spam bot,493,259,2767,0,0,0
157882115,0.016,0.028,spam bot,1287,769,21220,0,0,0
157882740,0.012,0.012,spam bot,1027,760,19526,0,0,0
157884271,0.012,0.024,spam bot,1531,837,21833,0,0,0
157899229,0.016,0.032,spam bot,1245,723,21172,0,0,0
157899996,0.008,0.02,spam bot,1569,699,20077,0,0,0
158541730,0.034482759,0.413793103,fake_follower,0,8,29,1,0,0
162035733,0.016,0.04,spam bot,1361,884,20594,0,0,0
165778169,0.016,0.02,spam bot,779,664,20816,0,0,0
165790334,0.008,0.048,spam bot,1591,595,20213,0,0,0
168218491,0.07751938,0.007751938,spam bot,247,422,135,0,1,0
168872531,0.008032129,0.016064257,fake_follower,0,57,570,0,1,0
169147207,0.702811245,0.060240964,fake_follower,484,84,2788,0,1,0
169474438,0.5,4.5,fake_follower,0,3,2,1,0,0
170144297,382,0,fake_follower,612,18,1,1,0,0
170241204,506.6041667,0,scam bot,302,19,54,1,1,0
172164229,0,0.25,fake_follower,0,8,4,1,0,0
173215914,791.2592593,0.333333333,fake_follower,1345,21,28,1,1,0
176096243,94.53974895,0.075313808,fake_follower,872,172,2396,0,1,0
176506844,0,3.5,fake_follower,1312,17,2,1,0,0
177671726,21.18072289,0.200803213,spam bot,104,23,263,0,0,0
179295032,0.012,0.008,spam bot,0,2,1883,1,0,1
179562837,0.008,0.008,spam bot,0,2,304,1,0,0
182390315,0,0.015384615,spam bot,453,422,70,0,1,0
184667668,0.012,0.02,spam bot,1122,221,413,1,0,1
185933483,0,0.153846154,fake_follower,0,13,26,1,0,0
189015964,113.6763485,0,fake_follower,1091,11,323,1,0,0
190796770,263.0549451,0.021978022,fake_follower,217,53,92,0,1,0
193818184,1053.166667,0.055555556,scam bot,0,7,18,0,0,0
194777903,0.012,0.012,spam bot,1265,758,21424,0,0,0
194780405,0.012,0.028,spam bot,1367,626,21265,0,0,0
195005434,0.016,0.04,spam bot,1508,688,19857,0,0,0
195006541,0.008,0.02,spam bot,622,966,21619,0,0,0
195017418,0.008,0.024,spam bot,1765,647,20612,0,0,0
195018333,0.008,0.028,spam bot,877,552,22523,0,0,0
195019019,0.008,0.024,spam bot,1393,535,20953,0,0,0
195049424,0.008,0.012,spam bot,981,764,20828,0,0,0
195625268,0,0.666666667,fake_follower,0,3,6,0,0,0
198243810,0,9,fake_follower,0,12,1,1,0,0
198277538,1,5,fake_follower,618,46,1,0,0,0
201190422,0.5,0,fake_follower,0,29,16,0,0,0
201425184,0.02,0.012,spam bot,1100,808,20749,0,0,0
210428729,84.27160494,0.012345679,fake_follower,616,37,84,1,0,0
212779829,0.108,0.052,spam bot,941,890,19822,0,0,0
212882298,628.922449,0.012244898,scam bot,0,15,292,1,0,0
214549887,181.1428571,1.714285714,fake_follower,161,48,21,0,0,0
214632102,0,2.333333333,fake_follower,0,15,3,0,0,0
215154980,1,0,fake_follower,3,12,1,1,0,0
215663794,0.036,0.028,spam bot,871,622,23898,0,0,0
215693377,0.008,0.032,spam bot,1081,810,18640,0,0,0
217992483,0,1,fake_follower,0,5,3,1,0,0
220097040,0.012,0.012,spam bot,0,939,21258,0,0,0
224567425,0,0.1,fake_follower,558,72,30,0,0,0
227650216,107.0769231,0.076923077,fake_follower,111,10,13,0,0,0
228720947,0.142857143,0.023809524,fake_follower,1324,42,42,0,1,0
229906054,0,2.5,fake_follower,0,1,2,1,0,0
233884874,4.396,0.02,fake_follower,616,5,667,0,0,0
234587511,22.65671642,0.014925373,fake_follower,43,23,67,0,1,0
237036122,11117.09746,0,fake_follower,0,25,371,0,0,0
237178034,0.992,2.42,spam bot,6734,8610,2521,0,0,0
237860975,0.012,0.012,spam bot,1569,584,20853,0,0,0
238531661,0,1,fake_follower,0,1,3,1,0,0
239910996,0.036,0.04,spam bot,1199,925,20037,0,0,0
240422007,1024.953125,0.03125,fake_follower,0,38,80,1,1,0
241041165,0,0,fake_follower,0,3,5,1,0,0
241206543,0.02,0.024,spam bot,1083,848,21735,0,0,0
241228977,0.008,0.02,spam bot,1123,1062,21920,0,0,0
241243279,0.02,0.012,spam bot,1225,744,20974,0,0,0
241312583,0.012,0.012,spam bot,1143,653,24427,0,0,0
241915215,8.426829268,1.784552846,scam bot,731,3768,8505,0,0,0
242206951,0,2,fake_follower,0,7,2,1,0,0
242534704,0.02,0.028,spam bot,1284,793,21118,0,0,0
243556904,0,0.028,fake_follower,580,46,2325,1,1,0
243707462,0.008,0.016,spam bot,1338,535,20335,0,0,0
244202085,0.016,0.028,spam bot,1295,997,20725,0,0,0
244568143,74.76595745,0.063829787,scam bot,0,9,49,1,0,0
249011468,6.125,0.25,fake_follower,0,9,8,1,0,0
250970687,0.111111111,0.444444444,fake_follower,0,15,9,0,0,0
253111142,0.205,0.045,fake_follower,0,88,200,1,0,0
253239439,0.132,0.004,fake_follower,0,134,742,1,0,0
254394005,333.55,0.05,scam bot,0,8,44,1,0,0
254618989,0,0.076923077,fake_follower,192,16,19,1,0,0
254839933,0,3,fake_follower,0,7,2,0,0,0
254976820,0.142857143,0,fake_follower,0,10,15,1,0,0
258069307,4514.733333,0.133333333,fake_follower,0,12,16,0,1,0
261915122,0.04,0.12,fake_follower,58,31,25,1,1,0
263549739,1246.384615,0,scam bot,0,5,29,1,0,0
265551997,0,1,fake_follower,0,9,1,0,0,0
266064479,0,0.004291845,spam bot,231,191,234,0,1,0
267092571,0,0.333333333,fake_follower,0,3,15,1,0,0
267781978,0,3,fake_follower,0,4,1,0,0,0
269201871,0,0.02,fake_follower,522,4,393,1,1,0
270442712,2729.857143,0.081632653,fake_follower,0,12,73,1,0,0
270494010,0.252,0.008,fake_follower,41,73,7007,0,1,0
275881452,25.424,0.532,fake_follower,73,339,1150,0,0,0
278082770,4.219178082,0.123287671,fake_follower,0,40,75,1,0,0
279388955,0.14,0.032,fake_follower,0,30,302,1,1,0
291191096,0.5,1.5,fake_follower,0,6,2,0,0,0
293830909,16720.25,0.25,fake_follower,0,10,32,1,0,0
294687282,52.66666667,0.333333333,fake_follower,119,34,3,1,0,0
295394982,0,0.083333333,fake_follower,0,7,12,0,0,0
297021045,0.024,0.024,spam bot,393,690,21080,0,0,0
297548417,0.012,0.012,spam bot,1215,736,19413,0,0,0
297613967,0.032,0.032,spam bot,1266,900,20814,0,0,0
304196805,0.260869565,0.956521739,scam bot,0,8,23,1,0,0
306207069,0.012,0.036,spam bot,744,929,22446,0,0,0
306479404,0.008,0.028,spam bot,1361,592,22584,0,0,0
307819895,0.012,0.004,fake_follower,82,23,348,0,0,0
309434421,0.142857143,0.571428571,fake_follower,0,7,7,0,0,0
310462159,0.02,0.024,spam bot,1638,774,19510,0,0,0
313626619,0,0,spam bot,266,283,73,0,1,0
314162343,0,0,spam bot,271,290,132,0,1,0
314201545,0,0.013274336,spam bot,272,298,235,0,1,0
314265702,0,0,spam bot,273,287,47,0,1,0
317248347,0,1,fake_follower,484,9,2,1,0,0
317953097,0.010752688,0.048387097,spam bot,280,321,186,0,1,0
319802566,0.1,0.3,fake_follower,0,9,10,0,1,0
325789799,0.012,0.028,spam bot,894,1003,21054,1,0,0
326241359,238.4642857,0,fake_follower,3,5,28,0,0,0
327747371,0.008,0.02,spam bot,1460,567,22699,0,0,0
327748532,0.02,0.028,spam bot,1336,840,21491,0,0,0
330531182,0.008,0.012,spam bot,1420,837,20643,0,0,0
331801034,0.012,0.068,spam bot,1709,779,20196,0,0,0
331801886,0.008,0.04,spam bot,1181,608,18944,0,0,0
331809299,0.012,0.044,spam bot,0,641,24746,0,0,0
334163536,0.024,0.04,spam bot,1209,712,20873,1,0,0
334747962,0.032,0.044,spam bot,1072,655,21998,0,0,0
334748859,0.016,0.02,spam bot,1551,615,21446,0,0,0
334754360,0.02,0.024,spam bot,1512,739,20574,0,0,0
334825381,0.02,0.044,spam bot,712,816,20335,0,0,0
334826952,0.016,0.06,spam bot,960,696,14513,0,0,0
335192481,0.008,0.028,spam bot,110,359,19456,0,0,0
335405859,0.024,0.08,spam bot,1190,1022,20596,0,0,0
335409261,0.008,0.028,spam bot,1546,591,19797,0,0,0
336051161,415.9358974,0.064102564,spam bot,134,28,79,0,0,0
336713356,0,3,fake_follower,0,2,1,1,0,0
337161218,115.8333333,0.333333333,fake_follower,0,9,7,1,0,0
337653685,27.36521739,0.065217391,fake_follower,1561,532,8395,1,1,0
339021400,300.8,0.533333333,scam bot,97,15,30,0,0,0
346747046,0,4,fake_follower,0,17,1,1,0,0
346790259,0,1.666666667,fake_follower,0,12,3,1,0,0
347506040,0.008,0.036,spam bot,1285,176,16335,0,0,0
347579782,0.008,0.02,spam bot,1278,745,20626,0,0,0
347587058,0.012,0.024,spam bot,1570,743,21055,0,0,0
347595019,0.02,0.044,spam bot,742,984,20325,0,0,0
349979518,0,0.219512195,fake_follower,137,32,41,0,1,0
351889016,1355.785714,0.047619048,fake_follower,0,30,142,0,1,0
355303911,0,0.109589041,fake_follower,0,36,73,1,0,0
355821619,184.6744186,0.069767442,fake_follower,207,208,45,1,1,0
355843642,0,0,fake_follower,0,20,8,0,0,0
355993172,28.61764706,0.205882353,fake_follower,1209,25,34,0,0,0
357088003,1287.196429,0.214285714,scam bot,0,18,63,1,0,0
357110189,0,0.01459854,spam bot,262,269,137,0,1,0
358424054,0,0,spam bot,231,194,200,0,1,0
360201053,0,0.006802721,spam bot,269,300,147,0,1,0
360743981,0.016,0.056,spam bot,1409,624,23550,0,0,0
360747829,0.016,0.016,spam bot,1307,454,23045,1,0,0
365334598,0,0.666666667,fake_follower,0,5,3,1,0,0
370384848,4.25,0,scam bot,0,17,16,0,0,0
370960192,0.116,0.204,spam bot,4611,5803,64237,0,0,0
373612487,86.94339623,0.264150943,fake_follower,59,193,55,0,1,0
377408959,10,0.692307692,fake_follower,0,11,13,1,0,0
377994769,123.0408163,0,fake_follower,0,8,49,1,0,0
382916532,189.444898,0.012244898,fake_follower,0,60,340,1,0,0
384501016,976.3649635,0.03649635,fake_follower,0,6,163,0,0,0
