,ID,Average of retweet_count,Average of favorite_count,bot_type,#of_friends,#of_followers,status_num,default_profile,geo_enabled,default_profile_image,avg_tweet_per_day
81,41686590,0,0.012,8,0,421,685,0,1,0,1.356
82,41982078,0.008,0.012,8,500,558,722,0,1,0,1.092
83,42157433,0.004,0.02,8,432,464,307,0,1,0,1.156
84,42157628,0.008,0.008,8,432,788,958,0,1,0,1.204
85,43258850,0.012,0.032,8,478,738,2659,0,1,0,1.596
86,43259836,0.004,0.004,8,471,408,237,0,1,0,1.167381974
87,43747581,0.034,0.041,6,1056,423,146,0,0,1,1.020547945
88,44191269,0,0,6,1469,565,16,1,0,0,1
89,45804432,0,0,6,611,97,1,1,0,0,1
90,47678112,0.5,0,6,3938,2760,14,1,0,0,1
91,47722321,0.333,0.222,1,0,9,9,1,0,0,1
92,48638750,0.172,1.092,1,1127,152,507,0,0,0,1.091286307
93,48712444,0.185,0,6,2286,2904,3843,0,0,0,9.068273092
94,49270232,0,0,6,1427,123,3,1,0,0,1
95,49588893,0,0.5,6,1475,118,2,1,0,0,1
96,49669394,0,0,6,336,35,2,1,0,0,1
97,49772550,0,0,6,971,76,2,1,0,0,1
98,49853823,0,0.012,8,249,203,616,0,1,0,1.28
99,49949709,0,0,6,578,63,2,1,0,0,1
100,50346336,9.655,0.012,6,0,678,517,0,0,0,1.153225806
101,50552240,0.004,0.02,8,432,457,663,0,1,0,1.088
102,51905951,0.5,1,6,609,67,2,1,0,0,1
103,51949191,0.008,0.012,8,432,560,719,0,1,0,1.092
104,52039977,0,0,6,569,56,2,1,0,0,1
105,52615792,700.023,0.034,2,0,22,94,1,0,0,1.2
106,53714790,0,1,6,236,36,1,1,0,0,1
107,53780726,0,0,6,241,34,1,1,0,0,1
108,53784356,0,0,6,237,30,1,1,0,0,1
109,53948371,0,1,6,656,68,1,1,0,0,1
110,54234822,4.667,0.004,6,1560,538,742,0,0,0,1.481927711
111,54244742,20.254,0.029,1,0,130,139,1,0,0,1.215384615
112,54353595,0.016,0.012,6,1998,1468,4666,1,0,0,1.016260163
113,54891461,0,0.068,6,1506,339,74,0,0,0,1.054054054
114,55221873,0,0.013,6,1510,291,80,0,0,0,1.125
115,55243788,0.013,0.1,6,1670,430,80,0,0,0,1.1
116,55256821,0,0.129,6,1531,462,85,0,0,0,1.070588235
117,55275603,0.02,0.089,6,1587,378,101,0,0,0,1.079207921
118,55396146,0,0.147,6,1605,480,75,0,0,0,1.04
119,55412037,0.015,0.169,6,1687,405,65,0,0,0,1.061538462
120,58384179,0.125,0.5,1,0,11,8,0,0,0,1.75
121,58624454,4.443,0.016,6,1559,260,62,0,0,0,1.081967213
122,59434448,0,0,6,289,43,2,1,0,0,1
123,59904140,8.328,0,6,70,114,122,0,0,0,1.188679245
124,60257479,3785.189,0.054,1,545,11,48,1,0,0,1.378378378
125,60375971,0,0.364,1,0,4,11,1,1,0,1.666666667
126,60430191,1,0,6,279,39,2,1,0,0,1
127,62204600,205.822,0.017,1,53,27,119,0,0,0,1.127272727
128,62730539,0.008,0.012,8,432,413,306,0,1,0,1.308
129,63065682,0,0,6,685,98,3,1,0,0,1
130,63312941,0,0.021,6,1703,613,96,0,0,0,1.354166667
131,63417814,57.935,0.046,1,1334,113,109,1,0,0,1.018518519
132,63579810,0.25,0.5,6,122,13,4,1,0,0,1
133,63737626,0,0,8,432,449,358,0,1,0,1.244
134,64148519,0.5,0.5,6,592,85,2,1,0,1,1
135,64169835,0,0.032,8,432,459,529,0,1,0,1.068
136,64297402,2.172,0,6,1396,467,418,0,1,0,4.34351145
137,64636395,0,0,6,1229,81,2,1,0,1,1
138,64725115,0.008,0.008,6,733,258,124,1,0,0,1.115044248
139,64987143,0,0,6,1273,78,1,1,0,0,1
140,65257967,0,0.333,6,1240,95,3,1,0,0,1
141,65332295,0,0,6,1252,80,2,1,0,0,1
142,66618364,0.059,0.235,1,0,20,17,0,0,0,1
143,66807259,0,0,8,209,256,601,0,1,0,1.236
144,67004702,0,0.004,8,208,269,610,0,1,0,1.313253012
145,67242405,0.014,0.009,8,216,230,222,0,1,0,1.557603687
146,67404263,0,0.005,8,212,229,216,0,1,0,2.417061611
147,67537846,0,0.037,8,432,573,214,0,0,0,1.257009346
148,67595009,167.111,0,6,92,215,76,1,0,0,15
149,67604511,0,0,6,456,112,1,1,0,0,1
150,67604772,0.01,0.005,8,432,483,209,0,0,0,1.22815534
151,67946273,0,0.167,1,529,12,6,1,0,0,1
152,68203632,1,0,6,203,51,1,1,0,0,1
153,68246597,0,0.009,6,604,46,230,0,0,0,17.01162791
154,68332605,0,1,6,623,106,1,1,0,0,1
155,68918886,0,1,6,508,165,1,1,0,0,1
156,69201180,0.956,1.272,6,52415,51859,2409,0,0,0,1.255060729
157,69202294,0,1,6,560,182,1,1,0,0,1
158,69218933,0,0,6,479,151,1,1,0,1,1
159,69280475,0,0,6,383,47,7,1,0,0,1.285714286
160,69412978,34.466,0.157,1,747,286,363,0,1,0,1.471962617
161,69492703,1,0,6,464,104,1,1,0,0,1
162,69502707,0,0,6,517,130,1,1,0,0,1
163,69509049,1,1,6,516,128,1,1,0,1,1
164,70038696,0,0,8,241,251,241,0,1,0,2.495762712
165,71467598,0.222,0.056,8,432,448,18,0,1,0,1.111111111
166,71564424,0,0,6,0,69,15,0,0,0,1.066666667
167,71635706,0,0.02,8,0,235,782,0,1,0,1.626506024
168,71722242,0,0,8,0,203,716,0,1,0,1.428
169,71776798,0,0,6,566,138,2,1,0,0,1
170,71793700,0.004,0.008,8,245,216,332,0,1,0,1.084
171,71826144,0,0.039,8,249,200,51,0,1,0,1.058823529
172,71940079,0,0,8,251,268,741,0,1,0,1.268
173,71943510,0,0.004,8,0,311,709,0,1,0,1.272
174,71966331,0,0.004,8,251,338,825,0,1,0,1.164
175,72033272,0,0.032,8,0,235,644,0,1,0,1.24
176,72041194,0,0.008,8,247,272,722,0,1,0,1.596
177,72042541,0.004,0,8,0,223,595,0,1,0,1.40562249
178,72059138,0.004,0,8,244,200,599,0,1,0,1.204819277
179,72068550,0,0.016,8,0,233,785,0,1,0,1.22
180,72076822,0,0,8,252,217,692,0,1,0,1.632
181,72186699,11.58,0.704,1,1801,538,4131,0,1,0,1.195744681
182,72207735,0,0.016,8,233,189,401,0,1,0,1.468
183,72208069,0,0.008,8,233,212,682,0,1,0,1.544
184,72209365,0,0.012,8,0,198,647,0,1,0,1.56
185,72211081,0,0.012,8,0,219,598,0,1,0,1.172
186,72373568,0,0.004,8,232,188,236,0,1,0,1.710638298
187,72432504,0,0.008,8,0,214,626,0,1,0,1.416
188,72852291,0,0.2,1,0,10,20,1,0,0,1
189,72979450,155.284,0,6,0,560,330,0,1,0,1.333333333
190,73049791,0,3,6,504,62,1,1,0,0,1
191,73246645,0.143,0,6,512,135,7,0,0,0,1
192,73851157,0,0,6,387,60,1,1,0,0,1
193,73851368,0,0,6,326,45,1,1,0,0,1
194,74120658,0.012,0.088,6,854,161,269,0,0,0,1.096
195,74389659,0,1,6,551,99,1,1,0,0,1
196,74630038,23.904,0.084,6,1673,8515,22651,0,1,0,1.356807512
197,74637832,0,0,8,435,396,200,0,1,0,1.82
198,74638959,0.014,0.005,8,432,396,207,0,1,0,1.033816425
199,74995296,0.111,0,6,492,58,9,0,0,0,1
200,75710563,0,0,8,432,490,22,0,1,0,1
201,75727230,0,1,6,401,117,1,1,0,0,1
202,75863742,6.688,7.048,5,88453,106295,9435,1,0,0,1.161702128
203,75999733,0.005,0.011,8,432,426,186,0,1,0,1.064516129
204,76000096,0.01,0.034,8,432,429,205,0,1,0,1.863414634
205,76361849,1.325,0.04,1,0,47,126,0,0,0,1.139344262
206,76530984,2,1,6,439,72,1,1,0,0,1
207,77161645,0,0,6,518,72,1,1,0,0,1
208,77243796,66.421,0.105,1,1088,14,19,0,0,0,1.166666667
209,77413855,224.902,0.02,1,0,14,943,1,0,0,9.392523364
210,77727490,0.009,0.009,8,432,448,220,0,1,0,1.290909091
211,78423507,0.06,0.005,8,432,746,184,0,1,0,1.010869565
212,78466461,0.007,0,8,437,381,135,0,1,0,2.097014925
213,79361616,0,0,6,576,154,1,1,0,0,1
214,79362510,0,0,6,492,111,4,1,1,0,1.333333333
215,79443295,0,2,6,595,124,1,1,0,0,1
216,79860976,0,0.5,1,0,4,8,1,0,0,1
217,79966861,0,0,6,493,74,1,1,0,0,1
218,80194139,0,0.036,1,0,8,29,1,0,0,1
219,80345479,0,0,6,158,142,9,0,0,0,1
220,80479674,0.607,0.179,1,1443,34,28,0,1,0,1
221,82100136,5.698,0.023,1,57,18,43,1,1,0,1.119047619
222,82122078,0.5,2.5,1,0,17,4,0,0,0,1
223,83210368,133.21,0,6,1659,296,157,0,0,0,1.141025641
224,84114859,10456.564,0.026,2,0,8,43,1,0,0,1.451612903
225,84325988,0,0.015,6,1457,460,134,1,0,0,1.007462687
226,84602929,0.226,0.006,6,986,256,155,0,0,0,1.361111111
227,85126240,0,0.008,6,602,275,482,0,0,0,1.256
228,85254758,26.577,0.019,2,0,9,57,1,0,0,1.947368421
229,86517226,0,0.007,6,350,66,137,0,0,0,1.131386861
230,87752806,0,2.333,1,0,10,3,1,0,0,1
231,88004842,1,0,6,19,695,1,0,0,0,1
232,88563527,0.01,0.048,1,615,13,105,0,1,0,1.00952381
233,91162581,0.02,0,6,1171,1252,98,0,0,0,1.020408163
234,91350980,55.092,0.217,1,22,258,390,0,1,0,1.216589862
235,91781300,14.62,0.045,1,0,360,4585,0,1,0,1.953333333
236,92041890,61.626,0,6,29,267,149,1,1,0,1.129251701
237,93083959,7.472,0.004,6,1660,809,232,0,0,0,1.131004367
238,94528740,0,1.636,1,0,23,11,0,0,0,1
239,95690748,0,0,6,554,164,41,0,0,0,1
240,96668347,23.818,0.008,6,1752,682,525,0,0,0,1.345454545
241,96917059,8.408,0.037,1,0,139,1197,0,1,0,1.122362869
242,97275343,0,0,1,0,17,3522,0,0,0,2.531428571
243,98888058,0,0.25,6,1661,657,8,1,0,0,2.75
244,99323986,0.5,0.5,6,1620,500,6,1,0,0,3.333333333
245,99545852,0.004,0.02,8,0,221,359,0,1,0,1.518072289
246,101330311,0.012,0.044,6,2673,1700,684,0,0,0,1.192
247,101330413,68.028,0.012,1,1267,58,1178,0,0,0,1.108333333
248,101615403,0,0.08,6,944,170,25,0,0,0,1
249,101647448,0.016,0.008,7,27,111,3261,1,0,0,1
250,102508730,9513.931,0.097,6,433,897,58623,0,1,0,6.2
251,102514432,0,0,6,681,75,1,1,0,1,1
252,103020806,0.044,0.028,6,8805,7533,395,1,0,0,1
253,103614496,0,0.053,6,686,107,19,1,0,1,1.052631579
254,103688844,5.053,0,6,1536,430,57,0,0,0,1.245614035
255,103919687,0,0,6,653,44,4,0,0,0,1.25
256,104256888,0,0,6,441,67,6,1,0,1,1.333333333
257,104394959,0,0.05,6,724,133,20,1,0,0,1.2
258,104520384,0.038,0,6,764,140,53,0,0,0,1.41509434
259,104896954,0,0.004,6,0,1543,2757,0,0,0,3.228
260,104897023,0.029,0,6,1665,807,36,0,0,0,1.147058824
261,104991578,0.059,0,6,708,106,17,0,0,0,1.117647059
262,105748476,0,0.5,1,0,15,2,1,1,0,1
263,105790281,0.017,0.051,1,1054,52,59,1,1,0,1.150943396
264,106301592,0,0,6,169,25,2,0,0,0,1
265,106378113,0.556,0,6,970,418,22,0,0,0,1.058823529
266,106394146,20.5,0.056,6,431,234,19,1,0,0,2.529411765
267,106522802,0,1,6,561,73,1,1,0,1,1
268,107436496,6.795,0,6,1622,594,40,0,0,0,1.384615385
269,107549781,0,0,6,486,51,13,1,0,1,1.307692308
270,107727712,1,0,6,521,84,17,1,0,1,1.352941176
271,107914508,0.164,0.24,1,919,3498,94137,0,1,0,20.19047619
272,109066883,1.733,3.367,1,71,246,122,0,0,0,1.364583333
273,109075883,0,0.042,1,0,17,48,1,1,0,4.181818182
274,109633855,0,2,6,255,168,2,1,0,1,1
275,112131340,0,0.036,1,0,7,394,1,0,0,1.306666667
276,112429918,0,0,6,1064,1062,6599,1,0,0,1.272
277,112540516,0,0.03,1,0,26,135,1,0,0,1.037037037
278,112544426,0,0,6,75,21,11,0,0,0,1
279,114079307,0,0.143,6,667,230,14,0,0,0,1
280,114488344,0.026,0.013,1,124,33,76,1,0,0,1.04
281,116016837,0,0,6,623,171,75,0,0,0,1.453333333
282,119227710,0,0.385,1,0,12,13,1,0,0,1
283,121309790,0.005,0.011,1,0,31,182,1,0,0,1.114942529
284,122511648,99.577,0,1,73,11,27,0,1,0,1
285,123599990,196.967,0,1,347,19,31,0,0,0,1.034482759
286,124419079,0,1,1,0,9,2,0,1,0,1
287,125514462,0.083,0.333,1,0,8,12,1,0,1,1.166666667
288,128620164,0,1,1,0,9,2,1,0,0,1
289,129549447,0.028,0.06,5,547,488,8499,0,1,0,1.545454545
290,130061775,0.004,0.012,8,249,268,549,0,1,0,1.316
291,132278621,0,0,1,7,10,9,0,0,0,1.125
292,134332869,0.042,0.292,1,0,20,24,1,1,0,1.083333333
293,134678238,0.4,2,1,0,24,5,0,1,0,1
294,137515361,0,5,1,0,6,1,1,0,0,1
295,137959629,0.667,0,1,0,9,3,1,1,0,1
296,138667565,2.308,57.684,7,538,34640,36843,1,0,0,13.51219512
297,140176665,559.324,0.004,1,227,118,333,0,0,0,1.623853211
298,147852405,0,4,1,1137,38,1,1,0,0,1
299,147954455,0.667,1,1,0,21,3,1,0,0,1
300,148896431,0,0.184,1,0,7,38,0,0,0,2.294117647
301,150861478,113.081,0.044,1,644,33,500,0,1,0,1.760638298
302,152259498,16720.25,0.625,1,0,5,33,1,0,0,4
303,152846674,0,0.5,1,0,12,2,0,0,0,1
304,154237500,0,0.2,1,1105,8,20,1,1,0,1.333333333
305,154856763,20.961,0.039,1,0,5,52,1,0,0,3.4
306,156922624,0.016,0.016,7,493,259,2767,0,0,0,1
307,157882115,0.016,0.028,5,1287,769,21220,0,0,0,4.408906883
308,157882740,0.012,0.012,5,1027,760,19526,0,0,0,4.700404858
309,157884271,0.012,0.024,5,1531,837,21833,0,0,0,4.870445344
310,157899229,0.016,0.032,5,1245,723,21172,0,0,0,4.646586345
311,157899996,0.008,0.02,5,1569,699,20077,0,0,0,4.578313253
312,158541730,0.034,0.414,1,0,8,29,1,0,0,1.068965517
313,162035733,0.016,0.04,5,1361,884,20594,0,0,0,4.629032258
314,165778169,0.016,0.02,5,779,664,20816,0,0,0,4.56626506
315,165790334,0.008,0.048,5,1591,595,20213,0,0,0,4.641129032
316,168218491,0.078,0.008,8,247,422,135,0,1,0,1.178294574
317,168872531,0.008,0.016,1,0,57,570,0,1,0,1.134146341
318,169147207,0.703,0.06,1,484,84,2788,0,1,0,1.461139896
319,169474438,0.5,4.5,1,0,3,2,1,0,0,1
320,170144297,382,0,1,612,18,1,1,0,0,1
321,170241204,506.604,0,2,302,19,54,1,1,0,1.282051282
322,172164229,0,0.25,1,0,8,4,1,0,0,1
323,173215914,791.259,0.333,1,1345,21,28,1,1,0,1.173913043
324,176096243,94.54,0.075,1,872,172,2396,0,1,0,5.178082192
325,176506844,0,3.5,1,1312,17,2,1,0,0,1
326,177671726,21.181,0.201,3,104,23,263,0,0,0,1.186440678
327,179295032,0.012,0.008,7,0,2,1883,1,0,1,1
328,179562837,0.008,0.008,7,0,2,304,1,0,0,1
329,182390315,0,0.015,8,453,422,70,0,1,0,1.123076923
330,184667668,0.012,0.02,7,1122,221,413,1,0,1,1.02
331,185933483,0,0.154,1,0,13,26,1,0,0,1
332,189015964,113.676,0,1,1091,11,323,1,0,0,4.494623656
333,190796770,263.055,0.022,1,217,53,92,0,1,0,1.172839506
334,193818184,1053.167,0.056,2,0,7,18,0,0,0,1.857142857
335,194777903,0.012,0.012,5,1265,758,21424,0,0,0,4.558232932
336,194780405,0.012,0.028,5,1367,626,21265,0,0,0,4.634146341
337,195005434,0.016,0.04,5,1508,688,19857,0,0,0,4.431451613
338,195006541,0.008,0.02,5,622,966,21619,0,0,0,4.842975207
339,195017418,0.008,0.024,5,1765,647,20612,0,0,0,4.481781377
340,195018333,0.008,0.028,5,877,552,22523,0,0,0,4.396
341,195019019,0.008,0.024,5,1393,535,20953,0,0,0,4.548
342,195049424,0.008,0.012,5,981,764,20828,0,0,0,4.451612903
343,195625268,0,0.667,1,0,3,6,0,0,0,1
344,198243810,0,9,1,0,12,1,1,0,0,2
345,198277538,1,5,1,618,46,1,0,0,0,1
346,201190422,0.5,0,1,0,29,16,0,0,0,1
347,201425184,0.02,0.012,5,1100,808,20749,0,0,0,4.540650407
348,210428729,84.272,0.012,1,616,37,84,1,0,0,1.260869565
349,212779829,0.108,0.052,5,941,890,19822,0,0,0,4.639676113
350,212882298,628.922,0.012,2,0,15,292,1,0,0,1.170403587
351,214549887,181.143,1.714,1,161,48,21,0,0,0,1.095238095
352,214632102,0,2.333,1,0,15,3,0,0,0,1
353,215154980,1,0,1,3,12,1,1,0,0,1
354,215663794,0.036,0.028,5,871,622,23898,0,0,0,2.412
355,215693377,0.008,0.032,5,1081,810,18640,0,0,0,4.332
356,217992483,0,1,1,0,5,3,1,0,0,1
357,220097040,0.012,0.012,5,0,939,21258,0,0,0,4.765182186
358,224567425,0,0.1,1,558,72,30,0,0,0,1.034482759
359,227650216,107.077,0.077,1,111,10,13,0,0,0,1
360,228720947,0.143,0.024,1,1324,42,42,0,1,0,1.024390244
361,229906054,0,2.5,1,0,1,2,1,0,0,1
362,233884874,4.396,0.02,1,616,5,667,0,0,0,8.512195122
363,234587511,22.657,0.015,1,43,23,67,0,1,0,1.125
364,237036122,11117.097,0,1,0,25,371,0,0,0,1.153508772
365,237178034,0.992,2.42,3,6734,8610,2521,0,0,0,1.404
366,237860975,0.012,0.012,5,1569,584,20853,0,0,0,4.64516129
367,238531661,0,1,1,0,1,3,1,0,0,1
368,239910996,0.036,0.04,5,1199,925,20037,0,0,0,4.586345382
369,240422007,1024.953,0.031,1,0,38,80,1,1,0,1.431372549
370,241041165,0,0,1,0,3,5,1,0,0,1
371,241206543,0.02,0.024,5,1083,848,21735,0,0,0,4.601626016
372,241228977,0.008,0.02,5,1123,1062,21920,0,0,0,4.628
373,241243279,0.02,0.012,5,1225,744,20974,0,0,0,4.419354839
374,241312583,0.012,0.012,5,1143,653,24427,0,0,0,2.334677419
375,241915215,8.427,1.785,2,731,3768,8505,0,0,0,1.195020747
376,242206951,0,2,1,0,7,2,1,0,0,1
377,242534704,0.02,0.028,5,1284,793,21118,0,0,0,4.834008097
378,243556904,0,0.028,1,580,46,2325,1,1,0,1.139830508
379,243707462,0.008,0.016,5,1338,535,20335,0,0,0,4.5951417
380,244202085,0.016,0.028,5,1295,997,20725,0,0,0,4.518072289
381,244568143,74.766,0.064,2,0,9,49,1,0,0,1.243902439
382,249011468,6.125,0.25,1,0,9,8,1,0,0,1.25
383,250970687,0.111,0.444,1,0,15,9,0,0,0,1.571428571
384,253111142,0.205,0.045,1,0,88,200,1,0,0,1.259887006
385,253239439,0.132,0.004,1,0,134,742,1,0,0,1.024489796
386,254394005,333.55,0.05,2,0,8,44,1,0,0,1.297297297
387,254618989,0,0.077,1,192,16,19,1,0,0,7.75
388,254839933,0,3,1,0,7,2,0,0,0,1
389,254976820,0.143,0,1,0,10,15,1,0,0,1
390,258069307,4514.733,0.133,1,0,12,16,0,1,0,1.071428571
391,261915122,0.04,0.12,1,58,31,25,1,1,0,1.086956522
392,263549739,1246.385,0,2,0,5,29,1,0,0,1.08
393,265551997,0,1,1,0,9,1,0,0,0,1
394,266064479,0,0.004,8,231,191,234,0,1,0,1.094420601
395,267092571,0,0.333,1,0,3,15,1,0,0,4.428571429
396,267781978,0,3,1,0,4,1,0,0,0,1
397,269201871,0,0.02,1,522,4,393,1,1,0,1.164556962
398,270442712,2729.857,0.082,1,0,12,73,1,0,0,2.463414634
399,270494010,0.252,0.008,1,41,73,7007,0,1,0,1.359223301
400,275881452,25.424,0.532,1,73,339,1150,0,0,0,2.246666667
401,278082770,4.219,0.123,1,0,40,75,1,0,0,1.082191781
402,279388955,0.14,0.032,1,0,30,302,1,1,0,1.092436975
403,291191096,0.5,1.5,1,0,6,2,0,0,0,1
404,293830909,16720.25,0.25,1,0,10,32,1,0,0,4
405,294687282,52.667,0.333,1,119,34,3,1,0,0,1
406,295394982,0,0.083,1,0,7,12,0,0,0,1
407,297021045,0.024,0.024,5,393,690,21080,0,0,0,4.714859438
408,297548417,0.012,0.012,5,1215,736,19413,0,0,0,4.644
409,297613967,0.032,0.032,5,1266,900,20814,0,0,0,4.710843373
410,304196805,0.261,0.957,2,0,8,23,1,0,0,2.0625
411,306207069,0.012,0.036,5,744,929,22446,0,0,0,4.439516129
412,306479404,0.008,0.028,5,1361,592,22584,0,0,0,4.524390244
413,307819895,0.012,0.004,1,82,23,348,0,0,0,1.050209205
414,309434421,0.143,0.571,1,0,7,7,0,0,0,1
415,310462159,0.02,0.024,5,1638,774,19510,0,0,0,4.388
416,313626619,0,0,8,266,283,73,0,1,0,1.166666667
417,314162343,0,0,8,271,290,132,0,1,0,1.969465649
418,314201545,0,0.013,8,272,298,235,0,1,0,2.243362832
419,314265702,0,0,8,273,287,47,0,1,0,1.02173913
420,317248347,0,1,1,484,9,2,1,0,0,1
421,317953097,0.011,0.048,8,280,321,186,0,1,0,1.032258065
422,319802566,0.1,0.3,1,0,9,10,0,1,0,1
423,325789799,0.012,0.028,5,894,1003,21054,1,0,0,4.312
424,326241359,238.464,0,1,3,5,28,0,0,0,1.346153846
425,327747371,0.008,0.02,5,1460,567,22699,0,0,0,4.452
426,327748532,0.02,0.028,5,1336,840,21491,0,0,0,4.726530612
427,330531182,0.008,0.012,5,1420,837,20643,0,0,0,4.874493927
428,331801034,0.012,0.068,5,1709,779,20196,0,0,0,1.248868778
429,331801886,0.008,0.04,5,1181,608,18944,0,0,0,4.48582996
430,331809299,0.012,0.044,5,0,641,24746,0,0,0,2.278225806
431,334163536,0.024,0.04,5,1209,712,20873,1,0,0,4.544715447
432,334747962,0.032,0.044,5,1072,655,21998,0,0,0,4.705645161
433,334748859,0.016,0.02,5,1551,615,21446,0,0,0,4.319838057
434,334754360,0.02,0.024,5,1512,739,20574,0,0,0,4.44534413
435,334825381,0.02,0.044,5,712,816,20335,0,0,0,4.483870968
436,334826952,0.016,0.06,5,960,696,14513,0,0,0,2.032
437,335192481,0.008,0.028,7,110,359,19456,0,0,0,1.935897436
438,335405859,0.024,0.08,5,1190,1022,20596,0,0,0,4.576612903
439,335409261,0.008,0.028,5,1546,591,19797,0,0,0,4.693877551
